"","drug_name","AA_indication","url","AA_date","TA_date","type"
"102","Velcade (bortezomib)","Multiple myeloma patients who received at least two prior therapies and demontrated disease progression on the last therapy",NA,"5/13/2003","3/25/2005","AA_VerifiedBenefit"
"103","Gleevec (imatinib mesylate)","Newly diagnosed adults with Philadelphia chromosome positive CML",NA,"12/20/2002","5/27/2009","AA_VerifiedBenefit"
"104","Arimidex (anastrozole)","Adjuvant treatment of postmenopausal women with hormone receptor positive early breast cancer",NA,"9/5/2002","9/16/2005","AA_VerifiedBenefit"
"105","Eloxatin (oxaliplatin)","In combination with infusional 5-FU/LV for metastatic color or rectal carcinoma that progressed during or within 6 months of completion of first-line therapy with bolus 5 -FU/LV and irinotectan",NA,"8/9/2002","1/9/2004","AA_VerifiedBenefit"
"106","Zevalin (ibritumomab tiuxetan)","Relapsed or refractory low-grade follicular or transformed B-cell NHL other than rituximab-refractory follicular NHL",NA,"2/19/2002","9/3/2009","AA_VerifiedBenefit"
"107","Gleevec (imatinib mesylate)","KIT (CD117) positive unresectable and/or metastatic GIST",NA,"2/1/2002","9/26/2008","AA_VerifiedBenefit"
"108","Gleevec (imatinib mesylate)","CML in blast crisis, accelerated phase, or in chronic phase after failure of of interferon-alpha",NA,"5/10/2001","12/8/2003","AA_VerifiedBenefit"
"109","Campath (alemtuzumab)","B-cell CLL treated with alkylating agents and failed fludarabine therapy",NA,"5/7/2001","9/19/2007","AA_VerifiedBenefit"
"110","Temodar (temozolomide)","Adults with refractory anaplastic astrocytoma",NA,"8/11/1999","3/15/2005","AA_VerifiedBenefit"
"111","Doxil (doxorubicin hydrochloride)","Metastatic ovarian carcinoma refractory to paclitaxel and platinum-based chemotherapy",NA,"6/28/1999","1/28/2005","AA_VerifiedBenefit"
"112","Ontak (denileukin diftitox)","Persistent or recurrent cutaneous T-cell lymphoma expressing the CD25 component of IL-2 receptor",NA,"2/5/1999","10/15/2008","AA_VerifiedBenefit"
"113","Depocyt (cytarabine(liposomal))","Intrathecal treatment of lymphomatous meningitis",NA,"4/1/1999","4/19/2007","AA_VerifiedBenefit"
"114","Xeloda (capecitabine)","Metastatic breast cancer resistant to paclitaxel and an anthracycline-containing chemotherapy regimen or resistant to paclitaxel and further anthracycline therapy is contraindicated",NA,"4/30/1998","9/7/2001","AA_VerifiedBenefit"
"115","Camptosar (irinotecan hcl trihydrote)","Metastatic colon or rectal carcinoma that progressed following 5-FU therapy",NA,"6/14/1996","10/22/1998","AA_VerifiedBenefit"
"116","Taxotere (docetaxel)","Locally advanced or metastatic breast carcinoma that progressed during anthracycline-based therapy or relapsed during anthracycline-based adjuvant therapy",NA,"5/14/1996","6/22/1998","AA_VerifiedBenefit"
"117","Doxil (doxorubicin hydrochloride)","Kaposi's sarcoma in AIDS patients with disease progression on prior combination chemotherapy or who are intolerant to such therapy",NA,"11/17/1995","6/10/2008","AA_VerifiedBenefit"
"118","Casodex (bicalutamide)","In combination with an LHRH analogue for advanced prostate cancer",NA,"10/4/1995","12/12/1997","AA_VerifiedBenefit"
