"","description","url"
"39","FDA granted accelerated approval to idarucizumab (Praxbind Injection, Boehringer Ingelheim Pharmaceuticals, Inc.) for the treatment of patients treated with dabigatran (Pradaxa) when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures, or in life-threatening or uncontrolled bleeding. More Information. October 16, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm467396.htm"
"40","FDA approved nivolumab (Opdivo Injection, Bristol-Myers Squibb Company), for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) with progression on or after platinum-based chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving Opdivo. More Information. October 9, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm466576.htm"
"41","FDA granted accelerated approval to pembrolizumab (KEYTRUDA Injection, Merck Sharp and Dohme Corporation) for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors express programmed death ligand 1 (PD-L1) as determined by an FDA-approved test, with disease progression on or after platinum-containing chemotherapy. More Information. October 2, 2015 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm465650.htm"
"42","FDA granted accelerated approval to nivolumab (Opdivo Injection, Bristol-Myers Squibb Company) in combination with ipilimumab for the treatment of patients with BRAF V600 wild-type, unresectable or metastatic melanoma. More Information. September 30, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm465274.htm"
"43","FDA approved trifluridine/tipiracil (LONSURF, Taiho Oncology, Inc.) for the treatment of patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- , and irinotecan-based chemotherapy, an anti-VEGF biologic product, and an anti-EGFR monoclonal antibody, if RAS wild-type. More Information. September 22, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm463743.htm"
"44","FDA approved eltrombopag (Promacta for oral suspension, Novartis) for the treatment of thrombocytopenia in pediatric patients 1 year and older with chronic immune (idiopathic) thrombocytopenia (ITP) who have had an insufficient response to corticosteroids, immunoglobulins, or splenectomy. More Information. August 24, 2015 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm459467.htm"
"45","FDA approved brentuximab vedotin (ADCETRIS) for the post-autologous hematopoietic stem cell transplantation (auto-HSCT) consolidation treatment of patients with classical Hodgkin lymphoma (HL) at high risk of relapse or progression. More Information. August 17, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm458815.htm"
"46","FDA approved carfilzomib (Kyprolis, Onyx Pharmaceuticals, Inc., an Amgen subsidiary) in combination with lenalidomide and dexamethasone for the treatment of patients with relapsed multiple myeloma who have received one to three prior lines of therapy. More Information. July 24, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm455873.htm"
"47","FDA approved sonidegib (Odomzo Capsules, Novartis Pharmaceuticals Corporation) for the treatment of patients with locally advanced basal cell carcinoma (BCC) that has recurred following surgery or radiation therapy, or those who are not candidates for surgery or radiation therapy. More Information. July 24, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm455865.htm"
"48","FDA approved gefitinib (IRESSA) for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test. This approval of gefitinib is being approved concurrently with a labeling expansion of the therascreen EGFR RGQ PCR Kit, a companion diagnostic test for patient selection. More Information. July 13, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm454692.htm"
